2025-09-22 18:56:24 | INFO | Logging to file: logs/project_log.log
2025-09-22 18:56:24 | INFO | Log sanitization enabled, personal info removed
2025-09-22 18:56:53 | INFO | Logging to file: logs/project_log.log
2025-09-22 18:56:53 | INFO | Log sanitization enabled, personal info removed
2025-09-22 18:57:01 | INFO | Logging to file: logs/project_log.log
2025-09-22 18:57:01 | INFO | Log sanitization enabled, personal info removed
2025-09-22 18:57:35 | INFO | Logging to file: logs/project_log.log
2025-09-22 18:57:35 | INFO | Log sanitization enabled, personal info removed
2025-09-22 18:57:35 | INFO | Starting Producer to run continuously.
2025-09-22 18:57:35 | INFO | Use Ctrl+C to stop.
2025-09-22 18:57:35 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-22 18:57:35 | INFO | BUZZ_TOPIC: buzzline
2025-09-22 18:57:35 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-22 18:57:35 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-22 18:57:35 | INFO | LIVE_DATA_PATH: PROJECT_ROOT/data/project_live.json
2025-09-22 18:57:35 | INFO | BASE_DATA_DIR: PROJECT_ROOT/data
2025-09-22 18:57:35 | INFO | SQLITE_PATH: PROJECT_ROOT/data/buzz.sqlite
2025-09-22 18:57:35 | INFO | Kafka broker address: localhost:9092
2025-09-22 18:57:35 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'JjY4WKawQ-GFC8VniCM2Xw', 'controller_id': 1}
2025-09-22 18:57:37 | WARNING | WARNING: Kafka setup failed: NoBrokersAvailable
2025-09-22 18:57:37 | INFO | {'message': 'I just saw a movie! It was exciting.', 'author': 'Eve', 'timestamp': '2025-09-22 18:57:37', 'category': 'entertainment', 'sentiment': 0.11, 'keyword_mentioned': 'movie', 'message_length': 36}
2025-09-22 18:57:42 | INFO | {'message': 'I just tried an app! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-22 18:57:42', 'category': 'other', 'sentiment': 0.51, 'keyword_mentioned': 'other', 'message_length': 36}
2025-09-22 18:57:47 | INFO | {'message': 'I just loved a movie! It was funny.', 'author': 'Bob', 'timestamp': '2025-09-22 18:57:47', 'category': 'entertainment', 'sentiment': 0.01, 'keyword_mentioned': 'movie', 'message_length': 35}
2025-09-22 18:57:49 | INFO | Logging to file: logs/project_log.log
2025-09-22 18:57:49 | INFO | Log sanitization enabled, personal info removed
2025-09-22 18:57:52 | INFO | {'message': 'I just shared a trick! It was funny.', 'author': 'Eve', 'timestamp': '2025-09-22 18:57:52', 'category': 'other', 'sentiment': 0.8, 'keyword_mentioned': 'other', 'message_length': 36}
2025-09-22 18:57:57 | INFO | {'message': 'I just shared game! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-22 18:57:57', 'category': 'gaming', 'sentiment': 0.26, 'keyword_mentioned': 'game', 'message_length': 33}
2025-09-22 18:58:02 | INFO | {'message': 'I just tried an app! It was funny.', 'author': 'Bob', 'timestamp': '2025-09-22 18:58:02', 'category': 'other', 'sentiment': 0.51, 'keyword_mentioned': 'other', 'message_length': 34}
2025-09-22 18:58:03 | INFO | Logging to file: logs/project_log.log
2025-09-22 18:58:03 | INFO | Log sanitization enabled, personal info removed
